company_industries,job_url,company_name,company_website,company_location,job_roles,keywords,posted_on,job_title
Information Technology Services,https://wuzzuf.net/jobs/p/112186-Senior-Software-Developer-Misr-International-Systems-Giza-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=35,Misr International Systems,https://wuzzuf.net/jobs/careers/Misr-International-Systems-Egypt-4384,"Smart Village ,Giza ,Egypt","Engineering - Telecom/Technology,Installation/Maintenance/Repair,IT/Software Development","Information Technology (IT), Computer Science, Embedded, Software Development, Software Engineering, SharePoint, MVC, SQL, C#, Microsoft Visual Studio, Programming, Repair, Installation, Maintenance, Embedded C, Microsoft SharePoint","Monday, February 12, 2018 at 4:35PM",Senior Software Developer
"Healthcare and Medical Services,Computer Software",https://wuzzuf.net/jobs/p/115418-Junior-Software-Developer---Cairo-Millensys-Cairo-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=15,Millensys,https://wuzzuf.net/jobs/careers/Millensys-Egypt-17673,"Nasr City ,Cairo ,Egypt","Engineering - Telecom/Technology,IT/Software Development","Software Development, ERP, AJAX, javaScript, jQuery, ASP.NET, MVC, C#, XML, Database, SQL, Database Design, Information Technology (IT), HTML, CSS, Jquiry, ORM, Computer Science","Wednesday, February 21, 2018 at 4:00PM",Junior Software Developer - Cairo
"Information Technology Services,Computer Software",https://wuzzuf.net/jobs/p/113476-Senior-Software-Developer-PERFECT-PRESENTAION-Cairo-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=38,PERFECT PRESENTAION,https://wuzzuf.net/jobs/careers/PERFECT-PRESENTAION-Egypt-10124,",Cairo ,Egypt","Engineering - Telecom/Technology,IT/Software Development","ASP.NET, MVC, Angular, jQuery, WebAPI, WCF, Design Patterns, Microsoft SQL Server, Oracle, SharePoint, .NET, C#, javaScript, Web Development, Software Development, Information Technology (IT), Computer Science, Agile, Frameworks, Computer Engineering","Monday, February 12, 2018 at 7:37AM",Senior Software Developer
Computer Software,https://wuzzuf.net/jobs/p/113324-Senior-Software-Developer-Begether-Cairo-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=39,Begether,https://wuzzuf.net/jobs/careers/Begether-Egypt-8803,",Cairo ,Egypt",IT/Software Development,"Startup, Computer Science, JavaScript, PHP, Java, NoSQL, MongoDB, Software Engineering, javaScript, Web Development","Sunday, February 11, 2018 at 1:00PM",Senior Software Developer
"FMCG,Computer Software",https://wuzzuf.net/jobs/p/111047-Junior-Software-Developer-El-Amir-Group-Cairo-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=58,El-Amir Group,https://wuzzuf.net/jobs/careers/El-Amir-Group-Egypt-11148,"Nozha ,Cairo ,Egypt","Engineering - Telecom/Technology,IT/Software Development","Software Development, Crystal Reports, ASP.NET, VB.Net, Microsoft SQL Server, Information Technology (IT), Computer Science, .NET, SQL, Software Engineering, Database Management, Coding, Database","Saturday, January 27, 2018 at 3:29PM",Junior Software Developer
Computer Software,https://wuzzuf.net/jobs/p/113856-Senior--NET-Software-Developer-Key2Soft-Cairo-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=32,Key2Soft,https://wuzzuf.net/jobs/careers/Key2Soft-Egypt-11708,"Nasr City ,Cairo ,Egypt","Engineering - Telecom/Technology,IT/Software Development",".NET, Software Engineering, Software Development, C#, ASP.NET, HTML5, javaScript, jQuery, XML, Microsoft SQL Server, Software Testing, SCRUM, Agile, MVC, Design, SQL, Computer Science, Engineering","Tuesday, February 13, 2018 at 3:07PM",Senior .NET Software Developer
"Telecommunications,Information Technology Services",https://wuzzuf.net/jobs/p/115609-Software-Developer---Visual-Basic-Premier-Services-and-Recruitment-Cairo-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=10,Premier Services and Recruitment,https://wuzzuf.net/jobs/careers/Premier-Services-and-Recruitment-Egypt-9418,"Nasr City ,Cairo ,Egypt",IT/Software Development,"Software Development, Coding, MS Office, Visual Basic, Excel Sheet, Software","Thursday, February 22, 2018 at 3:52PM",Software Developer - Visual Basic
Computer Software,https://wuzzuf.net/jobs/p/111209-Software-Developer-Diamonds-Venture-Cairo-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=55,Diamonds Venture,https://wuzzuf.net/jobs/careers/Diamonds-Venture-Egypt-29893,"Heliopolis ,Cairo ,Egypt","Engineering - Telecom/Technology,IT/Software Development","Software Development, Software Engineering, Information Technology (IT), Computer Science, Web Development, C++, Java, javaScript, AngularJS, Git, .Net","Sunday, January 28, 2018 at 5:12PM",Software Developer
Computer Software,https://wuzzuf.net/jobs/p/108919-Senior-Software-Developer-Elibre-DMCC-Egypt-Cairo-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=54,Elibre DMCC Egypt,https://wuzzuf.net/jobs/careers/Algorithm-Lab-Egypt-26267,"Maadi ,Cairo ,Egypt",IT/Software Development,"Software Development, Software Engineering, Computer Science, C#, GDI+, OpenGL, Crystal, Information Technology (IT)","Sunday, January 14, 2018 at11:51AM",Senior Software Developer
Information Technology Services,https://wuzzuf.net/jobs/p/111145-Software-Development-Lead-Integrant-Cairo-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=57,Integrant,https://wuzzuf.net/jobs/careers/Integrant-Egypt-29467,"Maadi ,Cairo ,Egypt",IT/Software Development,"Accounting, Finance, ERP, Commerce, C#, C#.Net, VB.Net, ASP.NET, ADO.NET, HTML, XML, XSD, XSLT, HTML5, CSS3, javaScript, jQuery, AJAX, Linq, Information Technology (IT), Computer Science, Software Development","Sunday, January 28, 2018 at 2:49PM",Software Development Lead
Retail,https://wuzzuf.net/jobs/p/111385-Senior-Software-Developer-Specialist-B-Tech-Cairo-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=52,B.Tech,https://wuzzuf.net/jobs/careers/B-Tech-Egypt-403,"Nasr City ,Cairo ,Egypt","Engineering - Telecom/Technology,IT/Software Development","X++, AX Workflow, Dynamics AX, Data Structure, SQL Server Reporting, Application Object Tree, Dexterity, Plain Knowledge, OOP, Mobile Application","Thursday, February  1, 2018 at11:09AM",Senior Software Developer Specialist
Computer Software,https://wuzzuf.net/jobs/p/112023-Senior-Software-Developer-Nubis-Apps-Cairo-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=51,Nubis Apps,https://wuzzuf.net/jobs/careers/Nubis-Apps-Egypt-17896,",Cairo ,Egypt","Engineering - Telecom/Technology,IT/Software Development","Software Development, Computer Science, Computer Engineering, Software Engineering, ASP.NET MVC, ASP.NET, MVC, C#, jQuery, Microsoft SQL Server","Thursday, February  1, 2018 at 6:12PM",Senior Software Developer
Computer Software,https://wuzzuf.net/jobs/p/112024-Junior-Software-Developer-Nubis-Apps-Cairo-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=50,Nubis Apps,https://wuzzuf.net/jobs/careers/Nubis-Apps-Egypt-17896,",Cairo ,Egypt","Engineering - Telecom/Technology,IT/Software Development","Computer Science, Software Engineering, Web Development, C#, ASP.NET, MVC, Microsoft SQL Server","Thursday, February  1, 2018 at 6:15PM",Junior Software Developer
Information Technology Services,https://wuzzuf.net/jobs/p/112043-UX-UI-Software-Developer-Integrant-Cairo-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=49,Integrant,https://wuzzuf.net/jobs/careers/Integrant-Egypt-29467,"Maadi ,Cairo ,Egypt","Engineering - Telecom/Technology,IT/Software Development","C#, C#.Net, VB.Net, ASP.NET, ADO.NET, HTML, HTML5, XML, XSD, XSLT, CSS3, javaScript, jQuery, AJAX, .Net 3.5, WCF, WPF, MVC3, MVC4, MS SQL, Information Technology (IT), Computer Science, Software Development, ORM, MFC, IDEs, OOP, UI, UX, InVision, UXPin, Balsamiq, Axure, OmniGraffle, Web Development","Thursday, February  1, 2018 at 8:36PM",UX/UI Software Developer
Internet/E-commerce,https://wuzzuf.net/jobs/p/110977-Senior--Net-Software-Developer-Hatolna-Cairo-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=60,Hatolna,https://wuzzuf.net/jobs/careers/Hatolna-Egypt-14714,"Heliopolis ,Cairo ,Egypt",IT/Software Development,"ASP, .NET, MVC, Web Design, Web Development, APIs, Frontend, Backend, Information Technology (IT), AngularJS, SQL, Computer Science, Software Development, HTML, Back-End, Front-End","Thursday, January 25, 2018 at 8:51PM",Senior (.Net Software Developer)
"Information Technology Services,Computer Software",https://wuzzuf.net/jobs/p/111829-Front-End-Web-development-Software-Engineer-RoboVics-Cairo-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=53,RoboVics,https://wuzzuf.net/jobs/careers/RoboVics-18271,"Heliopolis ,Cairo ,Egypt","Engineering - Telecom/Technology,IT/Software Development","HTML5, CSS3, CSS, LESS, SASS, javaScript, AngularJS, AJAX, Git, Adobe Photoshop, Code Versioning, Image Authoring, Computer Science, Information Technology (IT), Software Engineering, Computer Engineering, Web Development, Software Development, Front-End","Wednesday, January 31, 2018 at 6:40PM",Front End Web development Software Engineer
"Computer Hardware,Information Technology Services,Computer Software",https://wuzzuf.net/jobs/p/112558-Software-Developer-Simple-Touch-Software-Cairo-Egypt?l=bp&t=sj&a=Software-Development-Jobs-in-Egypt&o=46,Simple Touch Software,https://wuzzuf.net/jobs/careers/Simple-Touch-Software-Egypt-810,"Maadi ,Cairo ,Egypt",IT/Software Development,"Information Technology (IT), Software Development, MVC, ASP.NET, .NET, OOP, SQL, javaScript, HTML5, jQuery, AngularJS, Back-End, Front-End","Tuesday, February  6, 2018 at11:28AM",Software Developer
